"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar mensagens como lida."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover as mensagens."
"Are you sure?","Você tem certeza?"
"Date Added","Data adicionada"
"Last Update","Última atualização"
"Mark as Read","Marcar como lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de mensagens"
"Notifications","Notificações"
"Please select messages.","Por favor, selecione as mensagens."
"Read Details","Ler detalhes"
"Remove","Remover"
"Severity","Severidade"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi excluída."
"Total of %d record(s) have been marked as read.","%d registro(s) marcado(s) como lido."
"Total of %d record(s) have been removed.","%d registro(s) excluído(s)."
"Unable to proceed. Please, try again.","Impossível continuar. Por favor, tente novamente"
"Update Frequency","Atualizar frequência"
"Use HTTPS to Get Feed","Usar HTTPS para obter feed"
"critical","CRITICAL"
"major","MAJOR"
"minor","MINOR"
"notice","NOTICE"
"unread message(s). <a href=""%s"">Go to messages inbox</a>.", "mensagem(s) não lidas. <a href=""%s"">Ir para caixa de mensagens</a>."
