" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo da raiz de instalação do Magento, ex. var/export)"
"(For US 2-letter state names)","(Para nomes de estados Americanos com 2 letras)"
"(If left empty will be auto-generated)","(Se deixado vazio será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados nesta loja se a coluna 'loja' estiver vazia ou faltando no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o memory_limit do php antes de alterar este valor)"
"(\\t for tab)","(\\t para tabulação)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre os botões acima para selecionar mais rápido."
"- Use the %s buttons to select month","- Use o botão %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido"
"-- Please Select Billing Agreement--","-- Por favor, selecione acordo de pagamento --"
"About the calendar","Sobre o calendário"
"Access denied.","Acesso negado."
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Action","Ação"
"Actions","Ações"
"Add Author","Adicionar autor"
"Add Contents Path","Adicionar caminho dos conteúdos"
"Add Field with URL:","Adicionar campo com URL:"
"Add New Role","Adicionar novo cargo"
"Add New User","Adicionar novo usuário"
"Add PHP Extension dependency","Adicionar dependência da extensão do PHP"
"Add Package dependency","Adicionar dependência do pacote"
"Address Type:","Tipo de endereço:"
"All","Tudo"
"All Websites","Todos websites"
"All fields","Todos campos"
"Archive file name:","Nome do arquivo comprimido:"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este template?"
"Are you sure that you want to strip tags?","Você tem certeza que deseja remover as tags?"
"Attribute Set Name:","Nome do grupo de atributos:"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos disponíveis"
"Big Image","Imagem grande"
"Billing Address","Endereço de cobrança"
"Billing Agreement","acordo de pagamento"
"Bundle Items","Empacotar itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não pode incluir opções personalizadas. Opções não serão salvas."
"CSV / Tab separated","CSV / Separado por aba"
"Card Verification Number","Código de segurança do cartão"
"Catalog","Catálogo"
"Channel","Canal"
"Child Transactions","Transações filhas"
"Choose Store View","Escolher visão da loja"
"Clear","Limpar"
"Client Session Timeout (sec.)","Tempo de expiração da sessão do cliente (seg.)"
"Close","Fechar"
"Comments History","Histórico de comentários"
"Confirmed email:","E-mail confirmado:"
"Connect with the Magento Community","Conectar com a comunidade Magento"
"Contents","Conteúdos"
"Country:","País:"
"Created At","Criado em"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo History","Histórico do reembolso"
"Credit Memo Totals","Total de memorandos de crédito"
"Current Configuration Scope:","Escopo da configuração atual:"
"Custom","Personalizado"
"Customer","Cliente"
"Customer Group:","Grupo de clientes:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Dashboard","Painel"
"Data Format","Formato de dados"
"Data transfer:","Transferência de dados:"
"Date selection:","Selecionar data:"
"Date selector","Seletor de data"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores padrões (admin)"
"Default Billing Address","Endereço padrão de cobrança"
"Default Values","Valores padrões"
"Delete","Excluir"
"Direction:","Direção:"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Drag to move","Arraste para mover"
"Edit Role","Editar cargo"
"Edit User '%s'","Editar usuário '%s'"
"Email","E-mail"
"Email Preview","Pré-visualizar e-mail"
"Email:","E-mail:"
"Enclose Values In:","Valores incluídos em:"
"Entity type:","Tipo de entidade:"
"Excl. Tax","Excl. imposto"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Export","Exportar"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"FTP Host[:Port]","Servidor FTP[:porta]"
"Field Mapping","Mapeamento de campo"
"File Information","Informações de arquivo"
"File name:","Nome do arquivo:"
"Files","Arquivos"
"Final Price","Preço final"
"First Name:","Nome:"
"For latest version visit: %s","Para última versão visite: %s"
"From","de"
"General Information","Informações gerais"
"General Settings","Configurações gerais"
"Get help for this page","Ajuda"
"Global Record Search","Busca global de registro"
"Go Today","Vá hoje"
"Google Base Items","Itens da base do Google"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a qualidade do Magento – reporte todos os bugs"
"Ignore","Ignorar"
"Images","Imagens"
"Import","Importar"
"Import Service","Serviço de importação"
"In Database:","Em banco de dados:"
"In File:","Em arquivo:"
"Incl. Tax","Incl. imposto"
"Include","Incluir"
"Interactive","Interativo"
"Interface Locale: %s","Localidade da interface: %s"
"Invalid webservice adapter specified.","Webservice adapter especificado inválido."
"Invalid webservice handler specified.","Webservice handler especificado inválido."
"Invoice History","Histórico de faturamento"
"Invoice Totals","Total do pagamento"
"Is Closed","Está fechado"
"Issue Number","Número de cadastro"
"Issuer: %s","Emissor: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 termos de busca"
"Last Logged In (%s):","Última conexão em (%s):"
"Last Logged In:","Última conexão em:"
"Last Name:","Sobrenome:"
"Latest Message:","Última mensagem:"
"Leave empty to use tax identifier","Deixe vazio para utilizar o identificador de imposto"
"Links with associated products will retain only after saving current product.","Links com produtos associados serão mantidos somente depois de salvar produto atual."
"Loading...","Carregando..."
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Sair"
"Logged in as %s","Conectado como %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","API do Magento Core"
"Magento Core Api Section","Seção de API do Magento Core"
"Magento Logo","Logo do Magento"
"Magento ver. %s","Versão do Magento: %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; é uma marca registrada de Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Tenha certeza que a codificação dos arquivos está consistente e salva em uma das codificações suportadas (UTF-8 ou ANSI)."
"Manage Stores","Gerenciar lojas"
"Max","Max"
"Min","Min"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
