"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(ns)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Fazerá a busca para a query acima retornando resultados.)"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por favor, selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 como padrão se não definido. Para atualizar imediatamente, limpe a cache de saída dos blocos HTML."
"A group with the same name already exists.","Já existe um grupo com o mesmo nome."
"A name is required","Um nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não está definido pelo indexador."
"ALL GROUPS","TODOS GRUPOS"
"AM","AM"
"Action","Ação"
"Add Attribute","Adicionar atributo"
"Add Design Change","Adicionar alteração de design"
"Add Group","Adicionar grupo"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo grupo de atributos"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar novas imagens"
"Add New Option","Adicionar nova opção"
"Add New Row","Adicionar nova linha"
"Add New Search Term","Adicionar novos termos de busca"
"Add New Set","Adicionar novo grupo"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar produto para websites"
"Add Root Category","Adicionar categoria raíz"
"Add Subcategory","Adicionar sub-categoria"
"Add Tax","Adicionar imposto"
"Add Tier","Adicionar diferencial"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Information","Informações adicionais"
"Alert Urls","Alerta de URLs"
"All","Tudo"
"All Product Types","Todos tipos de produtos"
"All Websites","Todos websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão excluídos. Você tem certeza que deseja excluir este grupo de atributo?"
"Allow All Products per Page","Permitir todos produtos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de mídia dinâmica em produtos e categorias"
"Allow HTML Tags on Frontend","Permitir tags HTML no frontend"
"Allowed File Extensions","Extensões de arquivo permitidas"
"Allowed file extensions to upload","Extensões de arquivo permitidas para upload"
"An error occurred while adding customers for the %s alert. Message: %s","Ocorreu um erro ao adicionar cliente no alerta %s. Mensagem: %s"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos nos websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar lista de comparação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos dos websites."
"An error occurred while saving the URL rewrite.","Ocorreu um erro ao salvar URL rewrite."
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar grupo de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar coleção, abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao salvar produto."
"An error occurred while saving the search query.","Ocorreu um erro ao salvar query de busca."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar atributos do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar status do(s) produto(s)."
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida de ID está especificado para %s (%s), parando registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Anchor Custom Text","Texto de âncora personalizada"
"Anchor Custom Title","Título de âncora personalizada"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Permitido somente em catálogo de produtos e categorias. Qualquer conteúdo mídia será inserido dentro do editor como uma URL estática. Isto não é atualizado se o URL base de configuração do sistema mudar."
"Apply To","Aplicar para"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Você tem certeza que deseja remover todos os itens da sua comparação?"
"Are you sure you would like to remove this item from the comparison list?","Você tem certeza que deseja remover este item da comparação de produtos?"
"Are you sure?","Você tem certeza?"
"As low as:","Maiores quantidades:"
"Assign","Atribuir"
