"Actions","Ações"
"Active","Ativo"
"Add New Rule","Acrescentar nova regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir regra. Por favor, analise o log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar dados da regra. Por favor, analise o log e tente novamente."
"Apply Rules","Aplicar regras"
"Attribute Set","Grupo de atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de preço do catálogo"
"Catalog Price Rules","Regras de preço do catálogo"
"Catalog Price Rules based on deleted attribute ""%s"" has been disabled.","Regras de preço do catálogo baseado em excluir atributo ""%s"" foi desabilitado."
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Condições de combinação"
"Customer Groups","Grupos de clientes"
"Customer Registered: %s","Cliente registrado: %s"
"Customer is a New Buyer: %s","Cliente é um novo comprador: %s"
"Date Expire","Data de expiração"
"Date From","Data de"
"Date Start","Data de início"
"Date To","Data para"
"Delete Rule","Excluir regra"
"Description","Descricão"
"Description: %s","Descrição: %s"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Expire at: %s","Expira em: %s"
"From Date","A partir da data"
"General Information","Informações gerais"
"ID","ID"
"Inactive","Inativo"
"NOT LOGGED IN","NÃO CONECTADO"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do produto"
"Promotions","Promoções"
"Rule Information","Informações da regra"
"Rule Name","Nome da regra"
"Save Rule","Salvar regra"
"Save and Apply","Salvar e aplicar"
"Save and Continue Edit","Salvar e continuar editando"
"Start at: %s","Início em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar processamento de demais regras"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas mas não foram aplicadas. Por favor, clique em aplicar regras para ver efeito imediato no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Para data"
"Unable to apply rules.","Não foi possível aplicar regras."
"Unable to find a rule to delete.","Não foi possível encontrar uma regra para excluir."
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Websites","Websites"
"Wrong rule specified.","Regra especificada incorreta."
"Yes","Sim"
