"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"Add New Address","Adicionar novo endereço"
"Add New Condition","Adicionar nova condição"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to Wishlist","Adicionar à lista de desejos"
"Address","Logradouro (Rua, Avenida ...)"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Após adicionar um produto redirecionar para o carrinho de compra"
"Allow Guest Checkout","Permitir finalizar compra como visitante"
"Already registered?","Já é registrado?"
"An error occurred in the process of payment","Ocorreu um erro durante o processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Usar cupom"
"Are you sure you would like to remove this item from the shopping cart?","Você tem certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para informações de cobrança"
"Back to Select Addresses","Voltar para selecionar endereços"
"Back to Shipping Information","Voltar para informações de envio"
"Back to Shopping Cart","Voltar para carrinho de compras"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de cobrança"
"Billing Information","Informações de cobrança"
"Billing Information - %s","Informações de cobrança - %s"
"Cancel Coupon","Cancelar cupom"
"Cannot add item to the shopping cart.","Não foi possível adicionar item ao carrinho de compras."
"Cannot add the item to shopping cart","Não foi possível adicionar item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar item ao carrinho de compras."
"Cannot apply the coupon code.","Não foi possível aplicar o cupom de desconto."
"Cannot open the overview page","Não foi possível abrir a página de resumo"
"Cannot remove the item.","Não foi possível remover o item."
"Cannot update shopping cart.","Não foi possível atualizar o carrinho de compras."
"Card Verification Number Visual Reference","Referência visual do código de segurança do cartão"
"Cart Subtotal:","Subtotal do carrinho:"
"Change","Alterar"
"Change Billing Address","Alterar endereço de cobrança"
"Checkbox Text","Texto da caixa de seleção"
"Checkout","Finalizar compra"
"Checkout Conditions","Condições para finalizar compra"
"Checkout Method","Método de finalização de compra"
"Checkout Options","Opções de finalização de compra"
"Checkout Section","Seção de finalização de compra"
"Checkout Terms and Conditions","Termos e condições para finalizar compra"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest or Register","Finalizar compra como visitante ou registre-se"
"Checkout with Multiple Addresses","Finalizar compra com múltiplos endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da confirmação do seu pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da condição"
"Configurable Product Image","Imagem de produto configurável"
"Confirm Password","Confirme sua senha"
"Content","Conteúdo"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar com as informações de cobrança"
"Continue to Review Your Order","Continuar revendo seu pedido"
"Continue to Shipping Information","Continuar com as informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Cupom de código ""%s"" não é válido."
"Coupon code ""%s"" was applied.","Cupom de código ""%s"" foi aplicado."
"Coupon code was canceled.","Código do cupom foi cancelado."
"Create Billing Address","Criar endereço de cobrança"
"Create Shipping Address","Criar endereço de envio"
"Data saving problem","Problema ao gravar dados"
"Default Billing","Pagamentomento padrão"
"Default Shipping","Envio padrão"
"Delete Condition","Excluir condição"
"Details","Detalhes"
"Disabled","Desabilitado"
"Discount Codes","Cupom de desconto"
"Display Cart Summary","Mostrar sumário do carrinho"
"Display Shopping Cart Sidebar","Mostrar barra lateral do carrinho de compras"
"Display item quantities","Mostrar quantidade de itens"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Easy access to your order history and status","Acesso fácil ao seu histórico de pedidos e status"
"Edit","Editar"
"Edit Address","Editar endereço"
"Edit Billing Address","Editar endereço de cobrança"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar endereço de envio"
"Edit Terms and Conditions","Editar termos e condições"
"Edit Your Cart","Editar seu carrinho"
"Email Address","Endereço de e-mail"
"Enable Onepage Checkout","Habilitar finalizar compra em uma página"
"Enable Terms and Conditions","Habilitar termos e condições"
"Enabled","Habilitado"
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Se possuir, insira o código do cupom."
"Enter your destination to get a shipping estimate.","Insira seu endereço para calcular o valor do frete."
"Estimate Shipping and Tax","Estimativa de frete e imposto"
"Excl. Tax","Excl. imposto"
"Fast and easy check out","Finalização de compra rápida e fácil"
"Fax","2º Telefone"
"Forgot an Item?","Esqueceu algum item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Cotar"
"Grand Total:","Total:"
"Grouped Product Image","Imagem de produto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. imposto"
"Invalid method: %s","Método inválido: %s"
"Item not found or already ordered","Item não encontrado ou já comprado"
"Items","Itens"
"Load customer quote error","Erro ao carregar a cotação do cliente"
"Loading next step...","Carregando próximo passo..."
"Login","Entrar"
"Manage Checkout Terms and Conditions","Gerenciar termos e condições de finalização de compra"
"Maximum Display Recently Added Item(s)","Exibição máxima de itens recentemente adicionados"
"Maximum qty allowed for Shipping to multiple addresses is %s","Quantidade máxima permitida de envio para múltiplos endereços é %s"
"Move to Wishlist","Mover para a lista de desejos"
"Multishipping Checkout","Finalizar compra com múltiplos envios"
"Multishipping Checkout Address (Any) Form","Formulário de endereço (qualquer) para finalizar compra com múltiplos envios"
"Multishipping Checkout Billing Address Creation","Criação do endereço de cobrança para finalizar compra com múltiplos envios"
"Multishipping Checkout Billing Address Edit Form","Formulário de edição do endereço de cobrança para finalizar compra com múltiplos envios"
"Multishipping Checkout Billing Address Selection","Seleção do endereço de cobrança para finalizar compra com múltiplos envios"
"Multishipping Checkout Billing Information Step","Informação do endereço de cobrança para finalizar compra com múltiplos envios"
"Multishipping Checkout Customer Address Edit Form","Formulário de edição do endereço do cliente para finalizar compra com múltiplos envios"
"Multishipping Checkout Overview","Resumo da finalização de compra com múltiplos envios"
"Multishipping Checkout Shipping Address Creation","Criação do endereço de envio para finalizar compra com múltiplos envios"
"Multishipping Checkout Shipping Address Edit Form","Formulário de edição do endereço de envio para finalizar compra com múltiplos envios"
"Multishipping Checkout Shipping Address Selection","Seleção do endereço de envio para finalizar compra com múltiplos envios"
"Multishipping Checkout Shipping Information Step","Informação do endereço de envio para finalizar compra com múltiplos envios"
"Multishipping Checkout Success","Sucesso na finalização de compra com múltiplos envios"
"My Cart","Meu carrinho"
"My Cart (%s item)","Meu carrinho (%s item)"
"My Cart (%s items)","Meu carrinho (%s itens)"
"My Cart Link","Link do meu carrinho"
"New Address","Novo endereço"
"New Condition","Nova condição"
"One Page Checkout","Finalizar compra em uma página"
"One Page Checkout Failure","Falha na finalização de compra em uma página"
"One Page Checkout Success","Sucesso na finalização de compra em uma página"
"Order #","Pedido número"
"Order Review","Rever pedido"
"Order Success","Pedido realizado com sucesso"
"Other Items in Your Order","Outros itens em seu pedido"
"Password","Senha"
"Payment Failed Email Reciever","E-mail de recebimento de erro no pagamento"
"Payment Failed Email Sender","E-mail de envio de erro no Pagamento"
"Payment Failed Emails","E-mails de erro no pagamento"
"Payment Failed Template","Template de erro no pagamento"
"Payment Information","Informações de pagamento"
"Payment Method","Método de pagamento"
"Payment Methods After Checkout Button","Métodos de pagamento depois do botão finalizar compra"
"Payment Methods Before Checkout Button","Métodos de pagamento antes do botão finalizar compra"
"Payment method is not defined","Método de pagamento não foi definido"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Confirmar pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de confirmar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concorde com todos os termos e condições antes de confirmar os pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de confirmar o pedido."
"Please log in below:","Por favor, entre abaixo:"
"Please select region, state or province","Por favor, selecione o estado"
"Please select shipping address for applicable items","Por favor, selecione endereço de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor, selecione o método de envio para todos endereços"
"Price","Preço"
"Proceed to Checkout","Finalizar compra"
"Product","Produto"
"Product Name","Nome do produto"
"Qty","Qtde"
"Quote Lifetime (days)","Validade da cotação (dias)"
"Recently added item(s)","Item(s) recentemente adicionado(s)"
"Register","Registrar"
"Register and save time!","Cadastre-se e ganhe tempo!"
"Register to Create an Account","Registrar-se"
"Register with us for future convenience:","Registre-se para futura conveniência:"
"Remove Item","Remover item"
"Remove This Item","Remover este item"
"Remove item","Remover item"
"Review Order","Rever pedido"
"Review Order - %s","Rever pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar condição"
"Save in address book","Salvar na lista de endereços"
"Select Address","Selecionar endereço"
"Select Addresses","Selecionar endereços"
"Select Shipping Method","Selecione o método de envio"
"Select State/Province...","Selecionar estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança da sua lista de endereços ou cadastre um novo."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de envio da sua lista de endereços ou cadastre um novo."
"Send Payment Failed Email Copy Method","Método de envio de cópia de e-mail de erro no pagamento"
"Send Payment Failed Email Copy To","Enviar cópia de e-mail de erro no pagamento para"
"Send To","Enviar para"
"Separate by "","".","Separado por "",""."
"Ship to Multiple Addresses","Enviar para múltiplos endereços"
"Ship to different address","Enviar para endereços diferentes"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de envio"
"Shipping Information","Informações de envio"
"Shipping Method","Método de envio"
"Shipping Methods","Métodos de envio"
"Shipping To","Enviar para"
"Shipping method has not been selected yet","Método de envio não foi selecionado ainda"
"Shipping selection is not applicable.","Não é possível utilizar método de envio selecinada"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Form Before","Formulário de carrinho de compras antes"
"Shopping Cart Sidebar","Barra lateral do carrinho de compras"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Show Content as","Mostrar contéudo como"
"Some of the requested products are not available in the desired quantity.","Alguns produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns produtos solicitados não estão disponíveis."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"State/Province","Estado"
"Status","Status"
"Store View","Visão da loja"
"Street Address","Endereço"
"Street Address %s","Endereço %s"
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Telephone","Telefone"
"Terms and Conditions","Termos e condições"
"Terms and Conditions Information","Informações sobre termos e condições"
"Terms and conditions","Termos e condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado pela sua compra!"
"The condition has been deleted","A condição foi excluída"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","A finalização de compra em uma página está desabilitada."
"The product could not be found.","O produto não pode ser encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Existem <a href=""%s"">%s itens</a> em seu carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","Existe <a href=""%s"">1 item</a> em seu carrinho."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro processando seu pedido. Por favor, entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists.","Essa condição não existe mais."
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Não foi possível definir método de pagamento."
"Unit Price","Preço unitário"
"Update Qty &amp; Addresses","Atualizar quantidade &amp; endereços"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Total","Atualizar total"
"Use Billing Address","Usar o endereço de cobrança"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nós estamos processando seu pedido e você logo receberá um e-mail com mais detalhes. Ao enviarmos o pedido, você receberá outro e-mail com um link para rastreá-lo."
"You have no items in your shopping cart.","Você não tem itens no seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação do pedido com mais detalhes e um link para rastreá-lo."
"Your Checkout Progress","Progresso da sua compra"
"Your billing agreement # is: %s.","O número do seu acordo de pagamento é: %s."
"Your order # is: %s.","O número do seu pedido é: %s"
"Your order has been received","Seu pedido foi recebido"
"Your order number is ","O número do seu pedido é "
"Your recurring payment profiles:","Seu perfil de pagamento recorrente:"
"Zip/Postal Code","CEP"
"osCommerce Orders","Pedidos osCommerce"
"Street Address 2","Número"
"Street Address 3","Complemento"
"Street Address 4","Bairro"
