"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, tente outro nome para a pasta."
"A page URL key for specified store already exists.","Uma chave de URL de página da loja especificada já existe."
"Action","Ação"
"Add New Block","Acrescentar novo bloco"
"Add New Page","Acrescentar nova página"
"All Countries","Todos países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Texto de âncora personalizada"
"Anchor Custom Title","Título de âncora personalizada"
"Are you sure you want to delete current folder?","Você tem certeza que deseja excluir a pasta atual?"
"Are you sure you want to delete the selected file?","Você tem certeza que deseja excluir o arquivo selecionado?"
"Block","Bloco"
"Block Information","Informações do bloco"
"Block Title","Título do bloco"
"CMS","CMS"
"CMS Home Page","Página principal do CMS"
"CMS No Cookies Page","Página CMS no cookies"
"CMS No Route Page","Página CMS no route"
"CMS No-Route Page","Página CMS no-route"
"CMS Page","Página CMS"
"CMS Page Link","Link da página CMS"
"CMS Page Link Block Template","Block template para link da página CMS"
"CMS Page Link Inline Template","Inline template para link da página CMS"
"CMS Pages (All)","Páginas CMS (todas)"
"CMS Static Block","Bloco estático de CMS"
"CMS Static Block Default Template","Template padrão do bloco estático de CMS"
"Cannot create new directory.","Não foi possível criar novo diretório."
"Cannot delete directory %s.","Não foi possível excluir diretório %s."
"Cannot delete root directory %s.","Não foi possível excluir diretório raiz %s."
"Cannot upload file.","Não foi possível atualizar arquivo."
"Collapse All","Fechar tudo"
"Content","Conteúdo"
"Content Heading","Conteúdo do cabeçalho"
"Content Management","Gerenciador de conteúdo"
"Contents of a Static Block","Conteúdos de um bloco estático"
"Create Folder...","Criar pasta..."
"Custom Design","Design personalizado"
"Custom Design From","Design personalizado a partir de"
"Custom Design To","Design personalizado para"
"Custom Layout","Layout personalizado"
"Custom Layout Update XML",XML de atualização do layout personalizado"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Informações de classe de impostos de cliente"
"Date Created","Data de criação"
"Delete Block","Excluir bloco"
"Delete File","Excluir arquivo"
"Delete Folder","Excluir pasta"
"Delete Page","Excluir página"
"Description","Descricão"
"Design","Design"
"Disabled","Desabilitado"
"Disabled Completely","Completamente desabilitado"
"Disabled by Default","Desabilitado por padrão"
"Edit Block","Editar bloco"
"Edit Block '%s'","Editar bloco '%s'"
"Edit Page","Editar página"
"Edit Page '%s'","Editar página '%s'"
"Enable WYSIWYG Editor","Habilitar editor WYSIWYG"
"Enabled","Habilitado"
"Enabled by Default","Habilitado por padrão"
"Expand All","Expandir todos"
"General Information","Informações gerais"
"Go to Home Page","Ir para página principal"
"Home","Principal"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se vazio, o título da página será usado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor, use caracteres alfanuméricos, sublinhados e traços."
"Keywords","Palavras-chave"
"Last Modified","Última modificação"
"Layout","Layout"
"Layout Update XML","XML de atualização de layout"
"Link to a CMS Page","Link para uma página CMS"
"Manage Pages","Gerenciar páginas"
"Media Storage","Armazenamento de mídia"
"Meta Data","Meta dados"
"Meta Description","Meta descrição"
"Meta Keywords","Meta palavras-chave"
"New Block","Novo bloco"
"New Folder Name:","Novo nome para pasta:"
"New Page","Nova página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informações da página"
"Page Layout","Layout da página"
"Page Status","Status da página"
"Page Title","Título da página"
"Pages","Páginas"
"Product Tax Class Information","Informações de classe de impostos de produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para página-CMS se cookies estão desabilitados"
"Relative to Website Base URL","Relativo ao URL base do website"
"Save Block","Salvar bloco"
"Save Page","Salvar página"
"Save Process","Salvar processo"
"Select Block...","Selecionar bloco..."
"Select Page...","Selecionar página..."
"Show Breadcrumbs for CMS Pages","Mostrar breadcrumbs para páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar aviso se JavaScript está desabilitado"
"Static Blocks","Blocos estáticos"
"Status","Status"
"Storage Root","Armazenamento raíz"
"Store View","Visão da loja"
"Template","Template"
"The block has been deleted.","O bloco foi excluído."
"The block has been saved.","O bloco foi salvo."
"The directory %s is not writable by server.","O diretório %s não tem permissão de escrita pelo servidor."
"The page URL key cannot consist only of numbers.","A chave do URL da página não pode consistir somente de números."
"The page has been deleted.","A página foi excluída."
"The page has been saved.","A página foi salva."
"This block no longer exists.","Este bloco não existe mais."
"This page no longer exists.","Esta página não existe mais."
"Title","Título"
"URL Key","Chave do URL"
"Unable to find a block to delete.","Não foi possível encontrar um bloco para excluir."
"Unable to find a page to delete.","Não foi possível encontrar uma página para excluir."
"WYSIWYG Options","Opções do WYSIWYG"
"px.","px."
