"Collected Files Count","Contador de arquivos coletados"
"Compilation","Compilação"
"Compilation State","Estado da compilação"
"Compilation error","Erro de compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Contador de escopos compilado"
"Compiler Status","Status do compilador"
"Compiler include path is disabled.","Caminho de inclusão do compilador está desabilitado."
"Compiler include path is enabled.","Caminho de inclusão do compilador está habilitado."
"Directory ""%s"" must be writeable","Pasta ""%s"" deve ter permissão de escrita"
"Disable","Desabilitar"
"Disabled","Desabilitado"
"Enable","Habilitar"
"Enabled","Habilitado"
"File ""%s"" must be writeable","Arquivo ""%s"" deve ter permissão de escrita"
"Not Compiled","Não compilado"
"Run Compilation Process","Executar processo de compilação"
"Scopes Compilation Settings","Configurações de compilação de escopos"
"System","Sistema"
"The compilation has completed.","A compilação foi concluída."
"Tools","Ferramentas"
