"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existem."
"-- Please Select --","-- Por favor, selecione --"
"A category object is required for determining the product request path.","Uma categoria de objeto é obrigatória para determinar o caminho solicitado do produto."
"Add Block Names to Hints","Adicionar nomes de blocos para dicas"
"Add Secret Key to URLs","Adicionar chave secreta para URLs"
"Add Store Code to Urls","Adicionar código da loja nos URLs"
"Admin","Admin"
"Admin Base URL","URL base da administração"
"Admin User Emails","E-mails dos usuários da administração"
"Advanced","Avançado"
"Allow Countries","Permitir países"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Allows customers to stay logged in when switching between different stores.","Manter clientes conectados ao trocar entre lojas diferentes."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o próximo link no menu de paginação. Se vazio, a imagem de seta padrão será utilizada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link anterior no menu de paginação. Se vazio, a imagem de seta padrão será utilizada."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar. Por favor, analise o log de erros."
"Anchor Text for Next","Texto âncora para próximo"
"Anchor Text for Previous","Texto âncora para anterior"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Backup Options","Opções de backup"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base do link"
"Base Media URL","URL base de media"
"Base Skin URL","URL base de skin"
"Base URL","URL base"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código da visão da loja, por favor, tenha certeza que não é usado em index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do website, por favor, tenha certeza que não é usado em index.php."
"Block with name ""%s"" already exists","Já existe bloqueio com o nome ""%s"""
"Browser Capabilities Detection","Detecção das capacidades do navegador"
"CSS Settings","Configurações de CSS"
"Cache Storage Management","Gerenciador de armazenamento de cache"
"Cache storage may contain another data. Are you sure that you want flush it?","O armazenamento de cache deve conter outros dados. Você tem certeza que deseja atualizar isso?"
"Can't retrieve request object","Não é possível obter objeto solicitado"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Esta operação não pode ser completada de uma área diferente da administração."
"Cannot retrieve entity config: %s","Não foi possível obter a configuração da entidade: %s"
"Card type does not match credit card number","Tipo do cartão de crédito não corresponde ao número do cartão de crédito"
"Code","Código"
"Controller file was loaded but class does not exist","Arquivo de controle foi carregado mas a classe não existe"
"Cookie Domain","Domínio do cookie"
"Cookie Lifetime","Tempo de vida do cookie"
"Cookie Path","Caminho do cookie"
