"* Required Fields","* Campos obrigatórios"
"A new password has been sent.","Uma nova senha foi enviada."
"ALL GROUPS","TODOS GRUPOS"
"Account Dashboard","Painel da conta"
"Account Information","Informações da conta"
"Account Sharing Options","Opções de compartilhamento de conta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","A confirmação do cadastro é obrigatória. Por favor, verifique seu e-mail para o link de confirmação. Para reenviar o e-mail de confirmação, por favor, <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","A confirmação do cadastro é obrigatória. Por favor, verifique seu e-mail para o link de confirmação. Para reenviar o e-mail de confirmação, por favor, <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar novo endereço"
"Add New Customer","Adicionar novo cliente"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Added From","Adicionado de"
"Additional Address Entries","Entradas de endereços adicionais"
"Address","Endereço"
"Address Book","Lista de endereços"
"Address Books","Listas de endereços"
"Address Information","Informações de endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Tudo"
"All Store Views","Todas visões da loja"
"All countries","Todos países"
"Always optional.","Sempre opcional."
"Amount","Quantia"
"An error occurred while deleting the address.","Ocorreu um erro ao excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida de ID foi especificada para %s (%s), parando registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a inserção deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja remover este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Vetor de coleções de entidades é esperado."
"Assign a Customer Group","Associar um grupo de clientes"
"Average Sale","Média de vendas"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página visitada anteriormente"
"Back to Login","Voltar para entrar"
"Bad request.","Solicitação incorreta."
"Bill to Name","Cobrar do nome"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save address.","Não foi possível salvar endereço."
"Cannot save the address.","Não foi possível salvar o endereço."
"Cannot save the customer.","Não foi possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar contas dos clientes globalmente porque algumas contas dos clientes com os mesmos e-mails existem em múltiplos websites e não podem ser unidos."
"Change Account Password","Alterar senha da conta"
"Change Billing Address","Alterar endereço de cobrança"
"Change Password","Alterar senha"
"Change Shipping Address","Alterar endereço de envio"
"City","Cidade"
"Company","Empresa"
"Config","Config"
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar senha"
"Confirmation Link Email","E-mail com link de confirmação"
"Confirmed","Confirmado"
"Contact Information","Informação de contato"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções de criação de nova conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar pedido"
"Create an Account","Criar uma conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço do cliente"
"Current Password","Senha atual"
"Customer","Cliente"
"Customer Account Edit Form","Formulário de edição da conta do cliente"
"Customer Account Login Form","Formulário de entrada da conta do cliente"
"Customer Account Logout Success","Saiu da conta do cliente com sucesso"
"Customer Account Registration Form","Formulário de registro da conta do cliente"
"Customer Addresses","Endereços de cliente"
"Customer Api","API do cliente"
"Customer Configuration","Configuração de cliente"
"Customer Forgot Password Form","Formulário de senha esquecida do cliente"
"Customer Group","Grupo de clientes"
"Customer Groups","Grupos de clientes"
"Customer Information","Informações de cliente"
"Customer Login","Nome de usuário do cliente"
"Customer My Account (All Pages)","Minha conta de cliente (todas as páginas)"
"Customer My Account Address Book","Lista de endereços da minha conta de cliente"
"Customer My Account Address Edit Form","Formulário de edição de endereço da minha conta de cliente"
"Customer My Account Dashboard","Painel da minha conta de cliente"
"Customer Since","Cliente desde"
"Customer View","Visão do cliente"
"Customer collection expected.","Coleção de clientes esperada"
"Customer email is required.","E-mail de cliente é obrigatório."
"Customer website ID must be specified when using the website scope.","ID do site do cliente precisa ser especificado quando usado o escopo do site."
"Customer will stay on the current page if ""No"" is selected.","Cliente permanecerá na página corrente se ""Não"" for selecionado."
"Customers","Clientes"
"Customers Only","Apenas clientes"
"Customers Section","Seção de clientes"
"DD","DD"
"Date","Data"
"Date Added","Data adicionada"
"Date of Birth","Data de nascimento"
"Day","Dia"
"Days in Wishlist","Dias na lista de desejos"
"Default Addresses","Endereços padrões"
"Default Billing Address","Endereço padrão de cobrança"
"Default Email Domain","Domínio de e-mail padrão"
"Default Group","Grupo padrão"
"Default Shipping Address","Endereço padrão de envio"
"Default Welcome Email","E-mail padrão de boas-vindas"
"Delete","Excluir"
"Delete Address","Excluir endereço"
"Delete Customer","Excluir cliente"
"Delete Customer Group","Excluir grupo de clientes"
"Delete customer","Excluir cliente"
"Delete customer address","Excluir endereço do cliente"
"Deleted Stores","Excluir lojas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar informações da conta"
"Edit Account Information","Editar informações da conta"
"Edit Address","Editar endereço"
"Edit Address Entry","Editar entrada de endereço"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
