"Add New Row","Adicionar nova linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Caracteres alfanuméricos, traços e sublinhados são recomendados para nome de arquivos. Caracteres inadequados são substituídos por \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro ao obter conteúdo solicitado. Por favor, contate o gerente da loja."
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo solicitado. Por favor, contate o gerente da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o(s) arquivo(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível conectar ao servidor remoto, erro: %s."
"Catalog Product View (Downloadable)","Visualização do catálogo do produto (estante)"
"Customer My Account Downloadable Items","Itens da estante da minha conta de cliente"
"Date","Data"
"Default Link Title","Título padrão do link"
"Default Maximum Number of Downloads","Número máximo padrão de downloads"
"Default Sample Title","Título padrão da amostra"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desabilitar finalizar compra como visitante se carrinho conter itens para a estante"
"Downloadable Information","Informações da estante"
"Downloadable Product","Produto para estante"
"Downloadable Product Options","Opções de produto para estante"
"Downloadable product Section","Seção de produto para estante"
"Excl. Tax","Excl. imposto"
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem de presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">meus produtos baixáveis</a>"
"Guest checkout will only work with shareable.","Finalizar compra como visitante somente funcionará com compartilhável."
"In Stock","Em estoque"
"Incl. Tax","Incl. imposto"
"Invalid download URL host.","Servidor do URL de download inválido."
"Invalid download URL scheme.","Scheme do URL de download inválido."
"Invalid download link type.","Tipo do link de download inválido."
"Invoiced","Pagamentodo"
"Links can be purchased separately","Links podem ser comprados separadamente"
"Max. Downloads","Máx. de downloads"
"Message:","Mensagem:"
"Move to Wishlist","Mover para a Lista de Desejos"
"My Downloadable Products","Meus Produtos Baixáveis"
"Open Links in New Window","Abrir links em uma nova janela"
"Order #","Pedido número"
"Order Item Status to Enable Downloads","Status do item do pedido para permitir os downloads"
"Ordered","Comprado"
"Out of Stock","Esgotado"
"Pending","Pendente"
"Please log in to download your product.","Por favor, entre para fazer download do seu protuto."
"Please set resource file and link type.","Por favor, defina arquivo fonte e tipo do link."
"Please specify product link(s).","Por favor, especifique link(s) do produto."
"Price","Preço"
"Qty","Qtde"
"Refunded","Reembolsado"
"Remaining Downloads","Downloads restantes"
"Remove Item","Remover item"
"Requested link does not exist.","Link solicitado não existe."
"Sample","Amostra"
"Shareable","Compartilhável"
"Shipped","Entregue"
"Sort Order","Ordem de seleção"
"Start Download","Iniciar o download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Ver pedido"
"You have not purchased any downloadable products yet.","Você não comprou nenhum produto para a estante ainda."
"attachment","anexo"
"download","download"
"inline","inline"
"sample","amostra"
