"Account Login","Usuário da conta"
"Account Password","Senha da conta"
"Account Type","Tipo de conta"
"Active","Ativo"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar novo atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Você tem certeza?"
"Attribute","Atributo"
"Attribute Set","Grupo de atributos"
"Attribute Set and Item Type","Grupo de atributos e tipo de item"
"Attributes","Atributos"
"Attributes Mapping","Mapeamento de atributos"
"Attributes Set","Grupo de atributos"
"AuthSub","Co-autor"
"Available Products","Produtos disponíveis"
"British Pound Sterling","Libra esterlina britânica"
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar item do Google Base para a loja '%s'"
"Captcha confirmation error: %s","Erro de confirmação de CAPTCHA: %s"
"Captcha has been confirmed.","Captcha foi confirmado."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","Nome de usuário do cliente"
"Confirm","Confirma"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
"Delete","Excluir"
"Delete Mapping","Excluir mapeamento"
"Edit Item Type","Editar tipo do item"
"Edit Item Type ""%s""","Editar tipo do item ""%s"""
"Error: %s","Erro: %s"
"Euro","Euro"
"Expires","Expirar"
"Germany","Alemanha"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atributo do Google Base"
"Google Base ID","ID do Google Base"
"Google Base Item Type","Tipo de item do Google Base"
"Google Base Item type","Tipo de item do Google Base"
"Google Base Items","Itens do Google Base"
"Google base","Google base"
"Hide","Esconder"
"Hosted","Hosted"
"Hosted or Google","Hosted ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de produto inválido para item do Google Base"
"Item Type was deleted","Tipo do item foi excluído"
"Item Types","Tipo dos itens"
"Item model is not specified to delete Google Base entry.","Modelo do item não é especificado para excluir uma entrada do Google Base."
"Items","Itens"
"Manage Attribute Mapping","Gerenciar mapeamento de atributo"
"Manage Attributes","Gerenciar atributos"
"Manage Items","Gerenciar itens"
"New Item Type","Novo tipo de item"
"New ItemType","New ItemType"
"No","Não"
"No items were deleted from Google Base","Nenhum item foi excluído do Google Base"
"No items were published","Nenhum item foi publicado"
"No items were saved as inactive items","Nenhum item foi salvo como item inativo"
"No products were added to Google Base","Nenhum produto foi adicionado no Google Base"
"Object model is not specified to save Google Base entry.","Modelo do objeto não é especificado para salvar uma entrada do Google Base."
"Page views","Visualizações de página"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione o grupo de atributos e o tipo de item do Google para carregar os atributos"
"Product Name","Nome do produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Salvar mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessão expirou durante exportação. Por favor, revise os produtos exportados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País de destino"
"The item type has been saved.","O tipo do item foi salvo."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os itens que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","%d item(ns) excluído(s); %d item(ns) atualizado(s)."
"Total of %d items(s) have been published.","%d item(s) publicado(s)."
"Total of %d items(s) have been removed from Google Base.","%d item(s) excluído(s) do Google Base."
"Total of %d items(s) have been saved as inactive items.","%d item(s) salvo(s) como itens inativos."
"Total of %d product(s) have been added to Google Base.","%d produto(s) adicionado(s) ao Google Base."
"US Dollar","Dólar US"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não foi possível conectar ao Google Base. Por favor, verifique as configurações da conta em configurações."
"Unable to select a Store View.","Não foi possível selecionar uma visão da loja."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base Item when Product is Updated","Atualizar item do Google Base quando o produto é atualizado"
"View Available Products","Visualizar produtos disponíveis"
"View Item in Google Base","Ver item no Google Base"
"Yes","Sim"
