" Copy"," Copiar"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Esta tag é para para o link de cancelar assinatura  --> Siga este link para cancelar assinatura <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","Ação"
"Add New Template","Adicionar novo template"
"Add to Queue","Adicionar a fila"
"Allow Guest Subscription","Permitir assinatura de visitante"
"An error occurred while saving your subscription.","Ocorreu um erro ao salvar sua assinatura."
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este template?"
"Are you sure that you want to strip all tags?","Você tem certeza que deseja remover todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não foi possível marcar como assinante recebido."
"Confirmation Email Sender","Remetente de e-mail de confirmação"
"Confirmation Email Template","Template de e-mail de confirmação"
"Confirmation request has been sent.","Solicitação de confirmação foi enviada."
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar template de newsletter"
"Customer","Cliente"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Customer My Account Newsletter Subscriptions","Assinaturas de newsletter da minha conta de cliente"
"Date Added","Data adicionada"
"Date Updated","Data de atualização"
"Delete","Excluir"
"Delete Selected Problems","Excluir problemas selecionados"
"Delete Template","Excluir template"
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Duplicate template code.","Código do template duplicado."
"Edit Newsletter","Alterar newsletter"
"Edit Newsletter Template","Alterar modelo de newsletter"
"Edit Queue","Editar fila"
"Edit Template","Editar template"
"Email","E-mail"
"Enter your email address","Insira seu endereço de e-mail"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","Fila inválida selecionada."
"Invalid subscription ID.","ID inválido de assinatura."
"Invalid subscription confirmation code.","Código inválido de confirmação de assinatura."
"Message","Mensagem"
"Need to Confirm","Precisa confirmar"
"New Newsletter Template","Novo modelo de newsletter"
"New Template","Novo modelo"
"Newsletter","Newsletter"
"Newsletter Message Preview","Visualizar mensagem da newsletter"
"Newsletter Problem Reports","Relatórios de problemas da newsletter"
"Newsletter Queue","Fila da newsletter"
"Newsletter Section","Seção da newsletter"
"Newsletter Sign-up:","Assinar newsletter:"
"Newsletter Subscribers","Assinantes da newsletter"
"Newsletter Subscription","Assinatura da newsletter"
"Newsletter Subscriptions","Assinaturas da newsletter"
"Newsletter Templates","Templates da newsletter"
"Newsletter subscription confirmation","Confirmação de assinatura da newsletter"
"Newsletter subscription success","Assinatura da newsletter realizada com sucesso"
"Newsletter unsubscription success","Cancelamento da newsletter realizado com sucesso"
"No Templates Found","Nenhum modelo encontrado"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected.","Nenhum assinante selecionado."
"Not Activated","Não ativado"
"Not Sent","Não enviado"
"Pause","Pausar"
"Paused","Parado"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please enter new template name","Por favor, insira nome do novo template"
"Please select subscriber(s)","Por favor, selecione assinante(s)"
"Preview","Visualização"
"Preview Template","Visualizar template"
"Processed","Processado"
"Queue Date Start","Data de início da fila"
