"%s Item(s)","%s Item(ns)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Loja de Demonstração do Magento. Todos os direitos reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre os botões acima para selecionar mais rápido."
"- Use the %s buttons to select month","- Use o botão %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido"
"-- Please Select --","-- Por favor, selecione --"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com barra esquerda"
"2 columns with right bar","2 colunas com barra direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"All Empty Layout Pages","Todas as páginas de layout vazio"
"All One-Column Layout Pages","Todas as páginas de layout 1 coluna"
"All Pages","Todas as páginas"
"All Pages (Print Version)","Todas as páginas (versão para impressão)"
"All Three-Column Layout Pages","Todas as páginas de layout 3 colunas"
"All Two-Column Layout Pages (Left Column)","Todas as páginas de layout 2 colunas (coluna da esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as páginas de layout 2 colunas (coluna da direita)"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada tiver acontecido"
"Close","Fechar"
"Close Window","Fechar janela"
"DHTML Date/Time Selector","Seletor DHTML de data/hora"
"Date selection:","Selecionar data:"
"Default Description","Descrição padrão"
"Default welcome msg!","Mensagem padrão de boas-vindas"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Drag to move","Arraste para mover"
"Empty","Vazio"
"For latest version visit: %s","Para última versão visite: %s"
"Free Shipping on orders over 50$","Envio gratuíto em pedidos acima de R$ 50,00"
"Go Today","Vá hoje"
"Help Us to Keep Magento Healthy","Ajude-nos a manter a qualidade do magento"
"Interface Language","Idioma de interface"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"JavaScript seem to be disabled in your browser.","JavaScript parece estar desabilitado em seu navegador."
"Left Column","Coluna da esquerda"
"Main Content Area","Área do conteúdo principal"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (mantenha para menu)"
"Next year (hold for menu)","Próximo ano (mantenha para menu)"
"Page Footer","Rodapé da página"
"Page Header","Cabeçalho da página"
"Page:","Página:"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Reportar todos os bugs"
"Right Column","Coluna da direita"
"Select Store","Selecionar loja"
"Select Store:","Selecionar loja:"
"Select date","Selecionar data"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma Loja de Demonstração. Quailquer pedido confirmado nesta loja não será honrado ou realizado."
"Time selection:","Selecionar hora:"
"Time:","Hora:"
"Welcome, %s!","Bem-vinda(o), %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você precisa ter JavaScript habilitado em seu navegador para utilizar as funcionalidades deste website."
"Your Language","Seu idioma"
"Your Language:","Seu idioma:"
"per page","por página"
