"API Login ID","ID do usuário da API"
"Accepted Currency","Moeda aceita"
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Authorize.net","Authorize.net"
"Credit Card Types","Tipos de cartões de crédito"
"Credit Card Verification","Código de segurança do cartão"
"Debug","Debug"
"Email Customer","E-mail do cliente"
"Enabled","Habilitado"
"Error in capturing the payment.","Erro ao capturar o pagamento."
"Error in payment gateway.","Erro no gateway de pagamento."
"Error in refunding the payment.","Erro ao reembolsar pagamento."
"Gateway error: %s","Erro de gateway: %s"
"Invalid amount for authorization.","Quantia inválida para autorização."
"Invalid transaction ID.","ID inválido de transação."
"Maximum Order Total","Total máximo do pedido"
"Merchant's Email","E-mail do comerciante"
"Minimum Order Total","Total mínimo do pedido"
"New Order Status","Status de pedido novo"
"Payment Action","Ação de pagamento"
"Payment authorization error.","Erro de autorização de pagamento."
"Payment authorization transaction has been declined.","Transação de autorização de pagamento foi recusada."
"Payment from Applicable Countries","Pagamento de países permitidos"
"Payment from Specific Countries","Pagamento de países específicos"
"Sort Order","Ordem de seleção"
"Test Mode","Modo de teste"
"Title","Título"
"Transaction Key","Chave da transação"
