"%s %s cycle.","%s %s ciclo."
"--Please Select--","--Por favor, selecione--"
"3D Secure Card Validation","Validação de cartão 3D secure"
"3D Secure Credit Card Validation","Validação de cartão de crédito 3D secure"
"<label>Make Check payable to:</label> %s","<label>Depositar para:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para modo ao vivo. Refere ao seu contrato CardinalCommerce."
"Allow Initial Fee Failure","Permitir falta de taxa inicial"
"An internal reference ID is required to save the payment profile.","Uma ID de referência interna é obrigatória para salvar o perfil de pagamento."
"Auto Bill on Next Cycle","Cobrar automaticamente no próximo ciclo"
"Automatically Invoice All Items","Pagamentor automaticamente todos os itens"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Cobrar automaticamente o valor de saldo pendente no próximo ciclo de cobrança (se existir falta de pagamento)."
"Billing Agreement status is not set.","Status do acordo de pagamento não está definido."
"Billing Amount","Quantia da cobrança"
"Billing Frequency","Frequência da cobrança"
"Billing Period","Período de cobrança"
"Billing Period Unit","Unidade do período de cobrança"
"Billing period unit is not defined or wrong.","Unidade do período de cobrança não está definido ou incorreto."
"Cannot load configuration for payment method ""%s""","Não foi possível carregar configuração para o método de pagamento ""%s"""
"Cannot retrieve payment method instance.","Não foi possível obter instância de método de pagamento."
"Cannot retrieve the payment info model object.","Não foi possível obter o objeto de modelo de informações de pagamento."
"Cannot retrieve the payment method model object.","Não foi possível obter o objeto de modelo de método de pagamento."
"Card Verification Number","Código de segurança do cartão"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Depósito Bancário"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos de cartões de crédito"
"Currency","Moeda"
"Currency code is undefined.","Código da moeda indefinido."
"Customer ID is not set.","ID do cliente não está definido."
"Day","Dia"
"Debug Mode","Modo debug"
"Enabled","Habilitado"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que receberá o produto ou serviço pago pelo pelo pagamento recorrente."
"Initial Fee","Taxa inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Quantia de pagamento inicial não-recorrente devido a criação imediata do perfil."
"Internal Reference ID","ID de referência interna"
"Issue Number","Número de cadastro"
"Make Check Payable to","Titular da conta"
"Make Check payable to:","Titular da conta:"
"Make Check payable to: %s","Depositar para: %s"
"Maximum Billing Cycles","Máximo de cliclos de cobrança"
"Maximum Order Total","Total máximo do pedido"
"Maximum Payment Failures","Máximo de faltas de pagamento"
"Maximum Trial Billing Cycles","Máximo de cliclos de cobrança do TRIAL"
"Merchant Id","ID do comerciante"
"Minimum Order Total","Total mínimo do pedido"
"Month","Mês"
"N/A","N/A"
"Name on Card","Nome no cartão"
"Name on the Card","Nome no cartão"
"Name on the Card: %s","Nome no cartão: %s"
"New Order Status","Status de pedido novo"
"Number of billing periods that make up one billing cycle.","Número de períodos de cobrança que compõe um cliclo de cobrança."
"Overrides API URL that may be specified by a payment method.","Sobrescrever URL da API que deve ser especificada por um método de pagamento."
"Password","Senha"
"Payment ID: %s","ID de pagamento: %s"
"Payment Method","Método de pagamento"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Seção de métodos de pagamento"
"Payment Reference ID","ID de referência do pagamento"
"Payment Services","Serviço de pagamento"
"Payment from Applicable Countries","Pagamento de países permitidos"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment method code is not set.","Código do método de pagamento não está definido."
"Payment method code is undefined.","Código do método de pagamento indefinido."
"Payment profile is invalid:\n%s","Perfil de pagamento é inválido:\n%s"
"Processor Id","ID do processador"
"Purchase Order","Pedido de compra"
"Purchase Order Number","Número do pedido de compra"
"Purchase Order Number:","Número do pedido de compra:"
"Purchase Order Number: %s","Número do pedido de compra: %s"
"Recurring Profile Start Date","Data de início do perfil recorrente"
"Recurring profile start date has invalid format.","Data de início do perfil recorrente possui formato inválido."
"Reference ID is not set.","ID de referência não está definido."
"Repeats %s time(s).","Repetir %s vez(es)."
"Repeats until suspended or canceled.","Repetir até suspender ou cancelar."
"Request Card Security Code","Solicitar código de segurança do cartão."
"Saved CC","CC salvo"
"Schedule Description","Descrição do agendamento"
