"2-pixel perimeter around the header space.","Perímetro de 2-pixel ao redor do espaço do cabeçalho."
"3D Secure","3D secure"
"3D Secure Card Validation","Validação de cartão 3D secure"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Iniciar aceitação de pagamentos via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para o modo live. Refere-se ao seu contrato CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (reter para avaliação ou outra investigação)"
"ACH Deposit (Reversal)","Depósito ACH (reversão)"
"ACH Funding for Funds Recovery from Account Balance","Financiamento ACH para recuperação de capital do saldo da conta"
"ACH Withdrawal","Retirada de ACH"
"API Password","Senha da API"
"API Signature","Assinatura da API"
"API Username","Nome de usúario da API"
"API Uses Proxy","API usa Proxy"
"API/Integration","API/Integração"
"API/Integration Settings","API/Configurações de integração"
"Ability for buyer to purchase without PayPal account.","Capacidade para o comprador comprar sem conta PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Aceitar pagamento pelo PayPal em seu carrinho de compras. PayPal processará seus pagamentos por cartão de crédito através do Payflow Pro Gateway."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Aceitar pagamentos sem o cliente deixar seu website. Muitos serviços de web-hosting populares e carrinhos de compras vem com o pagamento via Payflow gateways incluído, portanto eles são fáceis de ativar."
"Acceptance Mark","Marca de aceitação"
"Acceptance Mark Image","Imagem da marca de aceitação"
"Account-to-Account Payment, initiated by PayPal","Pagamento conta-para-cconta, iniciado por PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Adicionar um botão de finalização de compra express em seu carrinho de compras para pagamento rápido e fácil por cartão de crédito. PayPal trata todos os processos de pagamentos."
"Additional Options","Opções adicionais"
"Address Verification System Response","Resposta do sistema de verificação de endereço"
"All the address information matched","Todas as informações de endereço foram aceitas"
"Allow in Billing Agreement Wizard","Permitir no assistente do acordo de pagamento"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primary"" (padrão), your_custom_value (um estilo de página de pagamento personalizado para seu perfil de conta de comerciante)."
"Allowed Credit Card Types","Tipos de cartões de crédito permitidos"
"Also affects mini-shopping cart.","Também afeta mini carrinho de compras."
"Api/Integration","Api/Integração"
"Ask Customer","Pergunte ao cliente"
"Attempted Authentication, Bad Result","Falha na tentativa de autenticação"
"Attempted Authentication, Good Result","Êxito na tentativa de autenticação"
"Auction Payment other than through eBay","Pagamento de leilão que não seja através do eBay"
"Authenticated, Bad Result","Falha de autenticação"
"Authenticated, Good Result","Êxito de autenticação"
"Authorization","Autorização"
"Authorization transaction is required to void.","Autorização da transação é obrigatória para anular."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Saldo disponível"
"Balance Manager Account Bonus","Bônus no saldo da conta de gerente"
"Billing Address","Endereço de cobrança"
"Billing Agreement Signup ","Assinar acordo de pagamento "
"Billing Information","Informações de cobrança"
"Bonus for first ACH Use","Bônus para primeiro uso de ACH"
"Buyer Credit Payment","Pagamento de crédito do comprador"
"By default it is ""reports.paypal.com"".","Por padrão ""reports.paypal.com""."
"CVV2 Check Result by PayPal","Verificação de resultado do CVV2 por PayPal"
"Cannot create target file for reading reports.","Não foi possível criar arquivo de destino para relatórios de leitura."
"Centinel API URL","URL da API Centinel"
"Centinel Api URL","URL da API Centinel"
"Centinel Custom Api URL","URL personalizado da API Centinel"
"Change Payment Method","Alterar método de pagamento"
"Change Shipping Address","Alterar endereço de envio"
"Charge-off","Cancelamento de cobrança"
"Chargeback","Retorno de cobrança"
"Chargeback by customer.","Retorno de cobrança pelo cliente."
"Checkout with PayPal","Finalizar compra com PayPal"
"Completion Date","Data de finalização"
