"Abandoned Carts","Carrinhos abandonados"
"Abandoned carts","Carrinhos abandonados"
"Action","Ação"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to Wishlist","Adicionar à lista de desejos"
"Any","Qualquer"
"Applied Coupon","Cupom aplicado"
"Applies to Any of the Specified Order Statuses","Aplicar para qualquer status do pedido especificado"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Você tem certeza que deseja atualizar as estatísticas lifetime? Poderá haver impacto no desempenho durante essa operação."
"Are you sure?",Você tem certeza?"
"Avg. Approved Rating","Média de classificação aprovada"
"Avg. Rating","Classificação média"
"Bestsellers","Mais vendidos"
"Bought from wishlists","Comprados da lista de desejos"
"CSV","CSV"
"Carts","Carrinhos"
"Compared Products Grid Template","Grid template para produtos comparados"
"Compared Products List Template","List template para produtos comparados"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de uso de cupons"
"Created At","Criado em"
"Current Month Starts","Iniciar este mês"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Tags do cliente"
"Customers","Clientes"
"Customers Report","Relatórios de clientes"
"Customers Reviews","Opinião de clientes"
"Customers Tags","Tags dos clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tem lista de desejos: %s%"
"Dashboard","Painel"
"Day","Dia"
"Default Recently Compared Products Count","Contagem padrão de produtos comparados recentemente"
"Default Recently Viewed Products Count","Contagem padrão de produtos visualizados recentemente"
"Description","Descrição"
"Detail","Detalhe"
"Downloads","Downloads"
"Email","E-mail"
"Empty Rows","Linhas vazias"
"Excel","Excel"
"Filter","Filtrar"
"First Name","Nome"
"From","De"
"Guest","Visitante"
"Hits","Ocorrências"
"ID","ID"
"IP Address","Endereço IP"
"Index model name must be defined","Nome do modelo de índice deve ser definido"
"Invalid date specified.","Data especificada inválida."
"Invoiced","Pagamentodo"
"Items in Cart","Itens no carrinho"
"Last Name","Sobrenome"
"Last Review","Última análise"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de produtos comparados recentemente e excluídos da lista de comparação pelo visitante"
"List of Products Recently Viewed by Visitor","Lista de produtos visualizados recentemente pelo visitante"
"Low Stock","Estoque baixo"
"Low stock","Estoque baixo"
"Match Period To","Período correspondente a"
"Month","Mês"
"Most Viewed","Mais vistos"
"Name","Nome"
"New Accounts","Novas contas"
"No","Não"
"No records found for this period.","Nenhum registro encontrado para este período."
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Reviews","Número de opiniões"
"Number Purchased","Número comprado"
"Number Viewed","Número de visualizações"
"Number of Items","Número de itens"
"Number of New Accounts","Número de novas contas"
"Number of Products to display","Número de produtos para exibir"
"Number of Reviews","Número de opiniões"
"Number of Times Deleted","Número de vezes excluído"
"Number of Total Tags","Número total de tags"
"Number of Unique Tags","Número de tags únicas"
"Number of Views","Número de visitas"
"Number of items bought from a wishlist: %s","Número de itens comprados da lista de desejos: %s"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a lista de desejos foi compartilhada (enviado por e-mail): %s"
"Number of wishlist conversions: %s","Número de conversões da lista de desejos: %s"
"Number of wishlist referrals: %s","Número de referências da lista de desejos: %s"
"Number of wishlists: %s","Número de listas de desejos: %s"
"Order Status","Status do pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de impostos do pedido agrupado por taxa de imposto"
"Orders","Pedido"
"Out of stock","Esgotado"
"Period","Período"
"Poducts Report","Relatório dos produtos"
"Popular Tags","Tags populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do produto"
"Product Reviews","Opiniões do produto"
"Product SKU","Código do produto"
"Product Tags","Tags do produto"
"Products","Produtos"
"Products Ordered","Produtos pedidos"
"Products Report","Relatório dos produtos"
"Products Reviews","Opiniões dos produtos"
"Products Tags","Tags dos produtos"
"Products in carts","Produtos no carrinho"
"Purchases","Compras"
"Quantity Ordered","Quantidade pedida"
"Quantity of Items","Quantidade de itens"
"Recently Compared","Comparado recentemente"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed","Visualizado recentemente"
"Recently Viewed Products","Produtos visualizados recentemente"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Refresh Lifetime Statistics","Atualizar estatísticas lifetime"
"Refresh Statistics","Atualizar estatísticas"
"Refresh Statistics for the Last Day","Atualizar estatísticas para o último dia"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Análise"
"Reviews","Opiniões"
"Reviews for %s","Opiniões para %s"
"Sales","Vendas"
"Sales Report","Relatório de vendas"
"Search Query","Query de busca"
"Search Terms","Termos de busca"
"Select day of the month.","Selecionar dia do mês."
"Shipping","Envio"
"Shopping Cart","Carrinho de compras"
"Show Actual Values","Mostrar valores reais"
"Show Report","Mostrar relatório"
"Show for Current","Mostrar atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Quantidade em estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado em"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Detalhes da tag ""%s"""
"Tag Detail","Detalhe da tag"
"Tag Name","Nome da tag"
"Tag Use","Uso da tag"
"Tags Submitted by %s","Tags enviadas por %s"
"Tags submitted to %s","Tags enviadas para %s"
"Tax","Imposto"
"Title","Título"
"To","Para"
"Total","Total"
"Total Invoiced vs. Paid Report","Total faturado vs. Relatório de pagamento"
"Total Ordered Report","Relatório total do pedido"
"Total Refunded Report","Relatório total do reembolso"
"Total Shipped Report","Relatório total do envio"
"Total Tags","Total de tags"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado em"
"Viewed Products Grid Template","Grid template para produtos visualizados"
"Viewed Products List Template","List template para produtos visualizados"
"Visible In","Visível em"
"Wishlist Report","Relatório de lista de desejos"
"Wishlist vs. Regular Order","Lista de desejos vs. Pedido regular"
"Wishlists","Lista de desejos"
"Year","Ano"
"Year-To-Date Starts","Total de transações (Year-To-Date) iniciado em"
"Yes","Sim"
"Your Recently Compared","Suas últimas comparações"
"Your Recently Viewed","Suas últimas visualizações"
"undefined","indefinido"
