"%d Review(s)","%d opinião(ões)"
"%s Review(s)","%s opinião(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova opinião"
"Add Your Review","Adicionar sua opinião"
"Administrator","Administrador"
"All Reviews","Todas opiniões"
"All Reviews of Customer `%s`","Todas as opiniões do cliente '%s'"
"Allow Guests to Write Reviews","Permitir que visitantes escrevam opiniões"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Média de avaliação de clientes"
"Average Customer Rating:","Média de avaliação de clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar para informações principais do produto"
"Back to My Reviews","Voltar para minhas opiniões"
"Back to Product Reviews","Voltar para opiniões de produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Catalog Product Review View","Visão da opinião do catálogo do produto"
"Catalog Product Reviews List","Lista de opiniões do catálogo do produto"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Opiniões de produto da minha conta de cliente"
"Customer My Account Review Details","Detalhes de opinião da minha conta de cliente"
"Customer Reviews","Opiniões do cliente"
"Delete","Excluir"
"Delete Review","Excluir opinião"
"Detailed Rating","Classificação detalhada"
"Edit Review '%s'","Editar opinião '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você classifica este produto?"
"ID","ID"
"Manage Ratings","Gerenciar votos"
"My Product Reviews","Minhas opiniões de produtos"
"My Recent Reviews","Minhas opiniões recentes"
"Name","Nome"
"Name in Store","Nome na loja"
"New Review","Nova opinião"
"Nickname","Apelido"
"Pending Reviews","Opiniões pendentes"
"Pending Reviews of Customer `%s`","Opiniões de clientes pendentes '%s'"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione uma das avaliações acima"
"Posted By","Publicado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Opinião do produto (enviado em %s):"
"Product Reviews","Opiniões dos produtos"
"Product SKU","Código do produto"
"Qty","Qtde"
"Rating:","Classificação:"
"Review","Opinião"
"Review (submitted on %s):","Opinião (enviado em %s):"
"Review Details","Detalhes da opinião"
"Review by <span>%s</span>","Analisado por <span>%s</span>"
"Reviews and Ratings","Opiniões e avaliações"
"SKU","Código do produto"
"Save Review","Salvar opinião"
"Status","Status"
"Submit Review","Enviar opinião"
"Summary Rating","Sumário de classificação"
"Summary of Review","Sumário da opinião"
"Summary of Your Review","Sumário das suas opiniões"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível enviar a opinião."
"Update Status","Atualizar status"
"View All Reviews","Ver todas opiniões"
"View Details","Visualizar detalhes"
"Visible In","Visível em"
"Websites","Websites"
"Write Your Own Review","Escrever sua opinião"
"You have submitted no reviews.","Você não enviou opiniões."
"You're reviewing:","Você está revendo:"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Sua opinião (enviada em %s):"
"Your review has been accepted for moderation.","Sua opinião foi aceita para avaliação."
