"""%s"" coupon code is not valid.","""%s"" código do cupom não é válido."
"%s","%s"
"%s / %s rate:","%s / %s taxa:"
"%s for %s","%s para %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode(m) ser cancelada"
"%s order(s) have been canceled.","%s pedido(s) cancelada(s)."
"%s order(s) have been put on hold.","%s pedido(s) colocada(s) em processamento."
"%s order(s) have been released from holding status.","%s pedido(s) liberada(s) do status de processamento."
"%s order(s) were not put on hold.","%s pedido(s) não colocada(s) em processamento."
"%s order(s) were not released from holding status.","%s pedido(s) não liberada(s) do status de processamento."
"* - Enter custom price excluding tax","* - Digite o preço sem imposto"
"* - Enter custom price including tax","* - Digite o preço com imposto"
"-- Please Select --","-- Por favor, selecione --"
"-- Please Select Billing Agreement--","-- Por favor, selecione acordo de pagamento --"
"About This Order:","Sobre este pedido:"
"About This Profile:","Sobre este perfil:"
"About Your Order","Sobre seu pedido"
"Accept Payment","Aceitar pagamento"
"Accept or Deny Payment","Aceitar ou negar pagamento"
"Account Information","Informações da conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add Gift Messsage","Adicionar mensagem de presente"
"Add New Address","Adicionar novo endereço"
"Add Order Comments","Adicionar comentário de compra"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to Option","Adicionar produto(s) selecionado(s) para opção"
"Add Selected Product(s) to Order","Adicionar produto(s) seleciona(s) ao pedido"
"Add To Order","Adicionar ao pedido"
"Add Tracking Number","Adicionar número de rastreamento"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma mensagem de presente para <strong>cada item de presente</strong>"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma mensagem de presente para <strong>toda a compra</strong>"
"Add comment to order","Adicionar comentário ao pedido"
"Add new comment to shipment","Adicionar novo comentário à postagem"
"Add new tracking number","Adicionar novo número de rastreamento"
"Add to Cart","Adicionar ao carrinho"
"Address","Endereço"
"Address model is not defined.","Modelo de endereço não está definido"
"Adjustment Fee","Taxa ajustável"
"Adjustment Refund","Reembolso ajustável"
"Agreement Information","Informações de contrato"
"Allow Reorder","Permitir recompra"
"Amount","Quantia"
"Amount: %s.","Quantia: %s."
"An item option with code %s already exists.","Já existe uma opção de item com o código %s."
"Append Comments","Anexar comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar código de cupom"
"Approved the payment online.","Pagamento online aprovado."
"Are you sure you want to accept this payment?","Você tem certeza que deseja aceitar este pagamento?"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar este pedido?"
"Are you sure you want to deny this payment?","Você tem certeza que deseja negar este pagamento?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Are you sure you want to send Creditmemo email to customer?","Você tem certeza que deseja enviar e-mail do reembolso para o cliente?"
"Are you sure you want to send Invoice email to customer?","Você tem certeza que deseja enviar e-mail do pagamento para o cliente?"
"Are you sure you want to send Shipment email to customer?","Você tem certeza que deseja enviar e-mail da postagem para o cliente?"
