"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - encontra qualquer um; 'xyz*' - encontra qualquer um que começe com 'xyz' e não maior que %d."
"-- Please Select --","-- Por favor, selecione --"
"Add New Class","Adicionar classe"
"Add New Tax Rate","Adicionar taxa de imposto"
"Add New Tax Rule","Adicionar nova regra de imposto"
"After Discount","Após desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao excluir esta taxa."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao excluir esta taxa. ID de taxa incorreto."
"An error occurred while deleting this tax class.","Ocorreu um erro ao excluir esta classe de imposto."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao excluir esta regra de imposto."
"An error occurred while saving this rate.","Ocorreu um erro ao salvar esta taxa."
"An error occurred while saving this tax class.","Ocorreu um erro ao salvar esta classe de imposto."
"An error occurred while saving this tax class. A class with the same name already exists.","Ocorreu um erro ao salvar esta classe de imposto. Já existe uma classe com o mesmo nome."
"An error occurred while saving this tax rule.","Ocorreu um erro ao salvar esta regra de imposto."
"Apply Customer Tax","Aplicar imposto de cliente"
"Apply Discount On Prices","Aplicar desconto nos preços"
"Apply Tax On","Aplicar imposto"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Aplicar desconto nos preços incluindo impostos é calculado baseado no imposto da loja, se ""Aplicar taxa depois do desconto"" está selecionado."
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Back","Voltar"
"Before Discount","Antes do desconto"
"CSV","CSV"
"Calculation Settings","Configurações de cálculo"
"Catalog Prices","Preços do catálogo"
"Class Name","Nome da classe"
"Code","Código"
"Country","País"
"County","Município"
"Custom price if available","Preço personalizado se possível"
"Customer Tax Class","Classe de imposto de cliente"
"Customer Tax Class Information","Informações de classe de impostos"
"Customer Tax Classes","Classes de impostos de cliente"
"Default Country","País padrão"
"Default Post Code","CEP padrão"
"Default State","Estado padrão"
"Default Tax Destination Calculation","Cálculo de imposto de destino padrão"
"Delete Class","Excluir classe"
"Delete Rate","Excluir imposto"
"Delete Rule","Excluir regra"
"Display Full Tax Summary","Mostrar sumário com todos impostos"
"Display Prices","Mostrar preços"
"Display Product Prices In Catalog","Mostrar preços dos produtos no catálogo"
"Display Shipping Amount","Mostrar valor do frete"
"Display Shipping Prices","Mostrar custo do frete"
"Display Subtotal","Mostrar subtotal"
"Display Zero Tax Subtotal","Mostrar subtotal sem impostos"
"Edit Class","Editar classe"
"Edit Class '%s'","Editar classe '%s'"
"Edit Rule","Editar regra"
"Edit Tax Rate","Editar taxa de imposto"
"Excl. Tax","Excl. imposto"
"Excl. Tax:","Excl. imposto:"
"Excluding Tax","Excluindo imposto"
"Export Tax Rates","Exportar taxas de impostos"
"Grand Total (Excl. Tax)","Total (excl. imposto)"
"Grand Total (Excl.Tax)","Total (excl.imposto)"
"Grand Total (Incl. Tax)","Total (incl. imposto)"
