" was not delivered nor scanned"," não foi entregue nem escaneado"
"1 Day Freight","Frete de 1 dia"
"2 Day Freight","Frete de 2 dias"
"2Day","2Dias"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Frete de 3 dias"
"3 Day Select","3 Day Select"
"Access ID","ID de acesso"
"Access License Number","Acessar número de licença"
"Account ID","ID de conta"
"Account Number","Número da conta"
"Additional Protection Configuration Value","Valor da configuração da proteção adicional"
"Additional Protection Enabled","Proteção adicional habilitada"
"Additional Protection Min Subtotal","Subtotal mínimo da proteção adicional"
"Additional Protection Value","Valor da proteção adicional"
"Additional Protection Value Rounding Method","Valor do método de arredondamento da proteção adicional"
"All Services","Todos serviços"
"Allowed Methods","Métodos permitidos"
"Bound Printed Matter","Vincular material impresso"
"Business Service Center","Centro de serviços de negócio"
"Calculate Handling Fee","Calcular taxa de manuseio"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Não foi possível obter taxas de envio"
"Commercial","Comercial"
"Configuration","Configuração"
"Container","Contêiner"
"Customer Packaging","Pacote do cliente"
"DHL","DHL"
"Debug","Debug"
"Default Package Height","Altura padrão do pacote"
"Default Package Length","Comprimento padrão do pacote"
"Default Package Width","Largura padrão do pacote"
"Delivered","Entregue"
"Destination Type","Tipo de destino"
"Development","Desenvolvimento"
"Displayed Error Message","Mensagem de erro exibida"
"Domestic Shipment Days","Dias de postagem doméstico"
"Drop Box","Drop Box"
"Dropoff","Devolver"
"Empty response","Resposta vazia"
"Enable Negotiated Rates","Habilitar negociação das taxas"
"Enabled","Habilitado"
"Enables/Disables SSL verification of Magento server by UPS.","Habilitar/desabilitar verificação SSL do servidor do Magento por UPS."
"Error #%s : %s (%s)","Erro número %s : %s (%s)"
"Error #%s: %s","Erro número %s: %s"
"Europe First Priority","Prioritário Europa primeiro"
"Express","Expresso"
"Express 10:30 AM","Expresso 10:30 AM"
"Express Mail","Correio expresso"
"Express Saturday","Sábado expresso"
"Express Saver","Expresso econômico"
"Failed to parse xml document: %s","Falha de parse do documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","Caixa FedEx 10kg"
"FedEx 25kg Box","Caixa FedEx 25kg"
"FedEx Box","Caixa FedEx"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pacote FedEx"
